"","LMName","IssuerCompany","NewLMName"
"1","Kotak Mahindra Capital Company Limited","Ujjivan Financial Services Ltd","Kotak Mahindra Capital Company Limited"
"2","Kotak Mahindra Capital Company Limited","Infibeam Incorporation Ltd","Kotak Mahindra Capital Company Limited"
"3","Kotak Mahindra Capital Company Limited","Healthcare Global Enterprises Ltd","Kotak Mahindra Capital Company Limited"
"4","Kotak Mahindra Capital Company Limited","Dr. Lal PathLabs Limited","Kotak Mahindra Capital Company Limited"
"5","Kotak Mahindra Capital Company Limited","S H Kelkar & Company Ltd","Kotak Mahindra Capital Company Limited"
"6","Kotak Mahindra Capital Company Limited","Coffee Day Enterprises Ltd","Kotak Mahindra Capital Company Limited"
"7","Kotak Mahindra Capital Company Limited","Sadbhav Infrastructure Project Limited","Kotak Mahindra Capital Company Limited"
"8","Kotak Mahindra Capital Company Limited","Interglobe Aviation Ltd","Kotak Mahindra Capital Company Limited"
"9","Kotak Mahindra Capital Company Limited","Manpasand Beverages Ltd","Kotak Mahindra Capital Company Limited"
"10","Kotak Mahindra Capital Company Limited","Adlabs Entertainment Ltd","Kotak Mahindra Capital Company Limited"
"11","Kotak Mahindra Capital Company Limited","Ortel Communications Ltd","Kotak Mahindra Capital Company Limited"
"12","Kotak Mahindra Capital Company Limited","Bharti Infratel Limited","Kotak Mahindra Capital Company Limited"
"13","Kotak Mahindra Capital Company Limited","PC Jeweller Ltd","Kotak Mahindra Capital Company Limited"
"14","Kotak Mahindra Capital Company Limited","Credit Analysis & Research Ltd","Kotak Mahindra Capital Company Limited"
"15","Kotak Mahindra Capital Company Limited","Speciality Restaurants Ltd","Kotak Mahindra Capital Company Limited"
"16","Kotak Mahindra Capital Company Limited","Future Ventures India Ltd","Kotak Mahindra Capital Company Limited"
"17","Kotak Mahindra Capital Company Limited","Muthoot Finance Ltd","Kotak Mahindra Capital Company Limited"
"18","Kotak Mahindra Capital Company Limited","Prestige Estates Projects Ltd","Kotak Mahindra Capital Company Limited"
"19","Kotak Mahindra Capital Company Limited","Oberoi Realty Ltd","Kotak Mahindra Capital Company Limited"
"20","Kotak Mahindra Capital Company Limited","Tecpro Systems Ltd","Kotak Mahindra Capital Company Limited"
"21","Kotak Mahindra Capital Company Limited","Eros International Media Ltd","Kotak Mahindra Capital Company Limited"
"22","Kotak Mahindra Capital Company Limited","Coal India Limited","Kotak Mahindra Capital Company Limited"
"23","Kotak Mahindra Capital Company Limited","Gujarat Pipavav Port Ltd (GPPL)","Kotak Mahindra Capital Company Limited"
"24","Kotak Mahindra Capital Company Limited","Bajaj Corp Limited","Kotak Mahindra Capital Company Limited"
"25","Kotak Mahindra Capital Company Limited","SKS Microfinance Ltd","Kotak Mahindra Capital Company Limited"
"26","Kotak Mahindra Capital Company Limited","Hindustan Media Ventures Ltd","Kotak Mahindra Capital Company Limited"
"27","Kotak Mahindra Capital Company Limited","Nitesh Estates Limited","Kotak Mahindra Capital Company Limited"
"28","Kotak Mahindra Capital Company Limited","Hathway Cable & Datacom Ltd","Kotak Mahindra Capital Company Limited"
"29","Kotak Mahindra Capital Company Limited","D B Realty Limited","Kotak Mahindra Capital Company Limited"
"30","Kotak Mahindra Capital Company Limited","Vascon Engineers Limited","Kotak Mahindra Capital Company Limited"
"31","Kotak Mahindra Capital Company Limited","Jubilant Foodworks Ltd","Kotak Mahindra Capital Company Limited"
"32","Kotak Mahindra Capital Company Limited","D B Corp Limited","Kotak Mahindra Capital Company Limited"
"33","Kotak Mahindra Capital Company Limited","Godrej Properties Limited","Kotak Mahindra Capital Company Limited"
"34","Kotak Mahindra Capital Company Limited","JSW Energy Limited","Kotak Mahindra Capital Company Limited"
"35","Kotak Mahindra Capital Company Limited","Pipavav Shipyard Limited","Kotak Mahindra Capital Company Limited"
"36","Kotak Mahindra Capital Company Limited","NHPC Limited","Kotak Mahindra Capital Company Limited"
"37","Kotak Mahindra Capital Company Limited","Adani Power Limited","Kotak Mahindra Capital Company Limited"
"38","Kotak Mahindra Capital Company Limited","Mahindra Holidays and Resorts India Ltd","Kotak Mahindra Capital Company Limited"
"39","Kotak Mahindra Capital Company Limited","KSK Energy Ventures Ltd","Kotak Mahindra Capital Company Limited"
"40","Kotak Mahindra Capital Company Limited","Titagarh Wagons Limited","Kotak Mahindra Capital Company Limited"
"41","Kotak Mahindra Capital Company Limited","Shriram EPC Limited","Kotak Mahindra Capital Company Limited"
"42","Kotak Mahindra Capital Company Limited","IRB Infrastructure Developers Ltd","Kotak Mahindra Capital Company Limited"
"43","Kotak Mahindra Capital Company Limited","Future Capital Holdings Ltd","Kotak Mahindra Capital Company Limited"
"44","Kotak Mahindra Capital Company Limited","BGR Energy Systems Limited","Kotak Mahindra Capital Company Limited"
"45","Kotak Mahindra Capital Company Limited","Jyothi Laboratories Limited","Kotak Mahindra Capital Company Limited"
"46","Kotak Mahindra Capital Company Limited","Edelweiss Capital Limited","Kotak Mahindra Capital Company Limited"
"47","Kotak Mahindra Capital Company Limited","Reliance Power Limited","Kotak Mahindra Capital Company Limited"
"48","Kotak Mahindra Capital Company Limited","Maytas Infra Limited","Kotak Mahindra Capital Company Limited"
"49","Kotak Mahindra Capital Company Limited","Consolidated Construction Consortium Ltd","Kotak Mahindra Capital Company Limited"
"50","Kotak Mahindra Capital Company Limited","Power Grid Corporation of India Ltd.","Kotak Mahindra Capital Company Limited"
"51","Kotak Mahindra Capital Company Limited","K.P.R. Mill Limited","Kotak Mahindra Capital Company Limited"
"52","Kotak Mahindra Capital Company Limited","Puravankara Projects Limited","Kotak Mahindra Capital Company Limited"
"53","Kotak Mahindra Capital Company Limited","IVR Prime Urban Developers Ltd","Kotak Mahindra Capital Company Limited"
"54","Kotak Mahindra Capital Company Limited","Housing Development and Infrastructure Ltd","Kotak Mahindra Capital Company Limited"
"55","Kotak Mahindra Capital Company Limited","Fortis Healthcare Ltd","Kotak Mahindra Capital Company Limited"
"56","Kotak Mahindra Capital Company Limited","ICRA Limited","Kotak Mahindra Capital Company Limited"
"57","Kotak Mahindra Capital Company Limited","MindTree Consulting Limited","Kotak Mahindra Capital Company Limited"
"58","Kotak Mahindra Capital Company Limited","Indian Bank","Kotak Mahindra Capital Company Limited"
"59","Kotak Mahindra Capital Company Limited","Power Finance Corporation Ltd.","Kotak Mahindra Capital Company Limited"
"60","Kotak Mahindra Capital Company Limited","Global Broadcast News Ltd","Kotak Mahindra Capital Company Limited"
"61","UBS Securities India Private Limited","Interglobe Aviation Ltd","Others"
"62","UBS Securities India Private Limited","Bharti Infratel Limited","Others"
"63","UBS Securities India Private Limited","Prestige Estates Projects Ltd","Others"
"64","UBS Securities India Private Limited","Orient Green Power Company Ltd","Others"
"65","UBS Securities India Private Limited","Hathway Cable & Datacom Ltd","Others"
"66","UBS Securities India Private Limited","Future Capital Holdings Ltd","Others"
"67","UBS Securities India Private Limited","BGR Energy Systems Limited","Others"
"68","UBS Securities India Private Limited","Reliance Power Limited","Others"
"69","UBS Securities India Private Limited","Simplex Projects Limited","Others"
"70","UBS Securities India Private Limited","DLF Limited","Others"
"71","UBS Securities India Private Limited","Advanta India Limited","Others"
"72","UBS Securities India Private Limited","Idea Cellular Limited","Others"
"73","ABN AMRO Securities (India) Private Limited","Cairn India Ltd","Others"
"74","Deutsche Equities India Private Limited","Adlabs Entertainment Ltd","Others"
"75","Deutsche Equities India Private Limited","Bharti Infratel Limited","Others"
"76","Deutsche Equities India Private Limited","Ramky Infrastructure Ltd","Others"
"77","Deutsche Equities India Private Limited","Coal India Limited","Others"
"78","Deutsche Equities India Private Limited","Den Networks Limited","Others"
"79","Deutsche Equities India Private Limited","IRB Infrastructure Developers Ltd","Others"
"80","Deutsche Equities India Private Limited","OnMobile Global Limited","Others"
"81","Deutsche Equities India Private Limited","DLF Limited","Others"
"82","Deutsche Equities India Private Limited","Firstsource Solutions Limited","Others"
"83","Enam Securities Private Limited","Bharti Infratel Limited","Enam Securities Private Limited"
"84","Enam Securities Private Limited","Tara Jewels Limited","Enam Securities Private Limited"
"85","Enam Securities Private Limited","MT Educare Limited","Enam Securities Private Limited"
"86","Enam Securities Private Limited","National Buildings Construction Corporation Ltd","Enam Securities Private Limited"
"87","Enam Securities Private Limited","TD Power Systems Ltd","Enam Securities Private Limited"
"88","Enam Securities Private Limited","Future Ventures India Ltd","Enam Securities Private Limited"
"89","Enam Securities Private Limited","Punjab & Sind Bank","Enam Securities Private Limited"
"90","Enam Securities Private Limited","A2Z Maintenance & Engineering Services Ltd","Enam Securities Private Limited"
"91","Enam Securities Private Limited","Claris Lifesciences Limited","Enam Securities Private Limited"
"92","Enam Securities Private Limited","Prestige Estates Projects Ltd","Enam Securities Private Limited"
"93","Enam Securities Private Limited","Oberoi Realty Ltd","Enam Securities Private Limited"
"94","Enam Securities Private Limited","Ashoka Buildcon Ltd","Enam Securities Private Limited"
"95","Enam Securities Private Limited","Electrosteel Integrated Ltd","Enam Securities Private Limited"
"96","Enam Securities Private Limited","Ramky Infrastructure Ltd","Enam Securities Private Limited"
"97","Enam Securities Private Limited","Eros International Media Ltd","Enam Securities Private Limited"
"98","Enam Securities Private Limited","Indosolar Ltd","Enam Securities Private Limited"
"99","Enam Securities Private Limited","VA Tech Wabag Ltd","Enam Securities Private Limited"
"100","Enam Securities Private Limited","Coal India Limited","Enam Securities Private Limited"
"101","Enam Securities Private Limited","Jaypee Infratech Ltd","Enam Securities Private Limited"
"102","Enam Securities Private Limited","Nitesh Estates Limited","Enam Securities Private Limited"
"103","Enam Securities Private Limited","Persistent Systems Limited","Enam Securities Private Limited"
"104","Enam Securities Private Limited","IL&FS Transportation Networks Ltd","Enam Securities Private Limited"
"105","Enam Securities Private Limited","United Bank of India","Enam Securities Private Limited"
"106","Enam Securities Private Limited","D B Realty Limited","Enam Securities Private Limited"
"107","Enam Securities Private Limited","Vascon Engineers Limited","Enam Securities Private Limited"
"108","Enam Securities Private Limited","D B Corp Limited","Enam Securities Private Limited"
"109","Enam Securities Private Limited","Pipavav Shipyard Limited","Enam Securities Private Limited"
"110","Enam Securities Private Limited","NHPC Limited","Enam Securities Private Limited"
"111","Enam Securities Private Limited","Adani Power Limited","Enam Securities Private Limited"
"112","Enam Securities Private Limited","Future Capital Holdings Ltd","Enam Securities Private Limited"
"113","Enam Securities Private Limited","Brigade Enterprises Limited","Enam Securities Private Limited"
"114","Enam Securities Private Limited","Transformers and Rectifiers India Ltd","Enam Securities Private Limited"
"115","Enam Securities Private Limited","Jyothi Laboratories Limited","Enam Securities Private Limited"
"116","Enam Securities Private Limited","Mundra Port and Special Economic Zone Ltd","Enam Securities Private Limited"
"117","Enam Securities Private Limited","Religare Enterprises Limited","Enam Securities Private Limited"
"118","Enam Securities Private Limited","Reliance Power Limited","Enam Securities Private Limited"
"119","Enam Securities Private Limited","Consolidated Construction Consortium Ltd","Enam Securities Private Limited"
"120","Enam Securities Private Limited","Power Grid Corporation of India Ltd.","Enam Securities Private Limited"
"121","Enam Securities Private Limited","IVR Prime Urban Developers Ltd","Enam Securities Private Limited"
"122","Enam Securities Private Limited","Central Bank of India","Enam Securities Private Limited"
"123","Enam Securities Private Limited","Vishal Retail Ltd","Enam Securities Private Limited"
"124","Enam Securities Private Limited","Indian Bank","Enam Securities Private Limited"
"125","Enam Securities Private Limited","Redington (India) Limited","Enam Securities Private Limited"
"126","Enam Securities Private Limited","Power Finance Corporation Ltd.","Enam Securities Private Limited"
"127","Enam Securities Private Limited","Akruti Nirman Limited","Enam Securities Private Limited"
"128","Enam Securities Private Limited","Cinemax India Ltd","Enam Securities Private Limited"
"129","ICICI Securities Limited","Ujjivan Financial Services Ltd","ICICI Securities Limited"
"130","ICICI Securities Limited","Thyrocare Technologies Ltd","ICICI Securities Limited"
"131","ICICI Securities Limited","Equitas Holdings Limited","ICICI Securities Limited"
"132","ICICI Securities Limited","Infibeam Incorporation Ltd","ICICI Securities Limited"
"133","ICICI Securities Limited","Quick Heal Technologies Ltd","ICICI Securities Limited"
"134","ICICI Securities Limited","TeamLease Services Ltd","ICICI Securities Limited"
"135","ICICI Securities Limited","Sadbhav Infrastructure Project Limited","ICICI Securities Limited"
"136","ICICI Securities Limited","Manpasand Beverages Ltd","ICICI Securities Limited"
"137","ICICI Securities Limited","PNC Infratech Limited","ICICI Securities Limited"
"138","ICICI Securities Limited","VRL Logistics Ltd","ICICI Securities Limited"
"139","ICICI Securities Limited","Shemaroo Entertainment Ltd","ICICI Securities Limited"
"140","ICICI Securities Limited","Wonderla Holidays Ltd","ICICI Securities Limited"
"141","ICICI Securities Limited","Bharti Infratel Limited","ICICI Securities Limited"
"142","ICICI Securities Limited","Credit Analysis & Research Ltd","ICICI Securities Limited"
"143","ICICI Securities Limited","Tara Jewels Limited","ICICI Securities Limited"
"144","ICICI Securities Limited","Muthoot Finance Ltd","ICICI Securities Limited"
"145","ICICI Securities Limited","PTC India Financial Services Ltd","ICICI Securities Limited"
"146","ICICI Securities Limited","Punjab & Sind Bank","ICICI Securities Limited"
"147","ICICI Securities Limited","A2Z Maintenance & Engineering Services Ltd","ICICI Securities Limited"
"148","ICICI Securities Limited","Claris Lifesciences Limited","ICICI Securities Limited"
"149","ICICI Securities Limited","Commercial Engineers & Body Builders Co Ltd","ICICI Securities Limited"
"150","ICICI Securities Limited","Parabolic Drugs Limited","ICICI Securities Limited"
"151","ICICI Securities Limited","Jaypee Infratech Ltd","ICICI Securities Limited"
"152","ICICI Securities Limited","Nitesh Estates Limited","ICICI Securities Limited"
"153","ICICI Securities Limited","Shree Ganesh Jewellery House Ltd","ICICI Securities Limited"
"154","ICICI Securities Limited","Godrej Properties Limited","ICICI Securities Limited"
"155","ICICI Securities Limited","JSW Energy Limited","ICICI Securities Limited"
"156","ICICI Securities Limited","Adani Power Limited","ICICI Securities Limited"
"157","ICICI Securities Limited","Rural Electrification Corporation Ltd.","ICICI Securities Limited"
"158","ICICI Securities Limited","Shriram EPC Limited","ICICI Securities Limited"
"159","ICICI Securities Limited","OnMobile Global Limited","ICICI Securities Limited"
"160","ICICI Securities Limited","Manaksia Limited","ICICI Securities Limited"
"161","ICICI Securities Limited","Brigade Enterprises Limited","ICICI Securities Limited"
"162","ICICI Securities Limited","K.P.R. Mill Limited","ICICI Securities Limited"
"163","ICICI Securities Limited","Central Bank of India","ICICI Securities Limited"
"164","ICICI Securities Limited","DLF Limited","ICICI Securities Limited"
"165","ICICI Securities Limited","Firstsource Solutions Limited","ICICI Securities Limited"
"166","ICICI Securities Limited","Indian Bank","ICICI Securities Limited"
"167","ICICI Securities Limited","Power Finance Corporation Ltd.","ICICI Securities Limited"
"168","ICICI Securities Limited","Global Broadcast News Ltd","ICICI Securities Limited"
"169","JM Financial Consultants Private Limited","Thyrocare Technologies Ltd","JM Financial Consultants Private Limited"
"170","JM Financial Consultants Private Limited","S H Kelkar & Company Ltd","JM Financial Consultants Private Limited"
"171","JM Financial Consultants Private Limited","Repco Home Finance Ltd","JM Financial Consultants Private Limited"
"172","JM Financial Consultants Private Limited","Tree House Education & Accessories Ltd","JM Financial Consultants Private Limited"
"173","JM Financial Consultants Private Limited","L&T Finance Holdings Limited","JM Financial Consultants Private Limited"
"174","JM Financial Consultants Private Limited","Future Ventures India Ltd","JM Financial Consultants Private Limited"
"175","JM Financial Consultants Private Limited","PTC India Financial Services Ltd","JM Financial Consultants Private Limited"
"176","JM Financial Consultants Private Limited","Claris Lifesciences Limited","JM Financial Consultants Private Limited"
"177","JM Financial Consultants Private Limited","BS Transcomm Ltd","JM Financial Consultants Private Limited"
"178","JM Financial Consultants Private Limited","Orient Green Power Company Ltd","JM Financial Consultants Private Limited"
"179","JM Financial Consultants Private Limited","Career Point Infosystems Ltd","JM Financial Consultants Private Limited"
"180","JM Financial Consultants Private Limited","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd)","JM Financial Consultants Private Limited"
"181","JM Financial Consultants Private Limited","IL&FS Transportation Networks Ltd","JM Financial Consultants Private Limited"
"182","JM Financial Consultants Private Limited","JSW Energy Limited","JM Financial Consultants Private Limited"
"183","JM Financial Consultants Private Limited","Pipavav Shipyard Limited","JM Financial Consultants Private Limited"
"184","JM Financial Consultants Private Limited","Oil India Limited","JM Financial Consultants Private Limited"
"185","JM Financial Consultants Private Limited","Adani Power Limited","JM Financial Consultants Private Limited"
"186","JM Financial Consultants Private Limited","Future Capital Holdings Ltd","JM Financial Consultants Private Limited"
"187","JM Financial Consultants Private Limited","eClerx Services Limited","JM Financial Consultants Private Limited"
"188","JM Financial Consultants Private Limited","Mundra Port and Special Economic Zone Ltd","JM Financial Consultants Private Limited"
"189","JM Financial Consultants Private Limited","Maytas Infra Limited","JM Financial Consultants Private Limited"
"190","JM Financial Consultants Private Limited","Omaxe Limited","JM Financial Consultants Private Limited"
"191","JM Financial Consultants Private Limited","Fortis Healthcare Ltd","JM Financial Consultants Private Limited"
"192","J.P. Morgan India Private Limited","Quick Heal Technologies Ltd","Others"
"193","J.P. Morgan India Private Limited","Alkem Laboratories Limited","Others"
"194","J.P. Morgan India Private Limited","Interglobe Aviation Ltd","Others"
"195","J.P. Morgan India Private Limited","Bharti Infratel Limited","Others"
"196","J.P. Morgan India Private Limited","MOIL Limited","Others"
"197","J.P. Morgan India Private Limited","Prestige Estates Projects Ltd","Others"
"198","J.P. Morgan India Private Limited","Oberoi Realty Ltd","Others"
"199","J.P. Morgan India Private Limited","Persistent Systems Limited","Others"
"200","J.P. Morgan India Private Limited","JSW Energy Limited","Others"
"201","J.P. Morgan India Private Limited","Brigade Enterprises Limited","Others"
"202","J.P. Morgan India Private Limited","Reliance Power Limited","Others"
"203","J.P. Morgan India Private Limited","Koutons Retail India Limited","Others"
"204","J.P. Morgan India Private Limited","MindTree Consulting Limited","Others"
"205","J.P. Morgan India Private Limited","Akruti Nirman Limited","Others"
"206","Macquarie India Advisory Services Private Limited","Sadbhav Infrastructure Project Limited","Others"
"207","Macquarie India Advisory Services Private Limited","Gammon Infrastructure Projects Ltd","Others"
"208","SBI Capital Markets Limited","Infibeam Incorporation Ltd","SBI Capital Markets Limited"
"209","SBI Capital Markets Limited","Precision Camshafts Ltd","SBI Capital Markets Limited"
"210","SBI Capital Markets Limited","Navkar Corporation Limited","SBI Capital Markets Limited"
"211","SBI Capital Markets Limited","Monte Carlo Fashions Limited","SBI Capital Markets Limited"
"212","SBI Capital Markets Limited","Repco Home Finance Ltd","SBI Capital Markets Limited"
"213","SBI Capital Markets Limited","PC Jeweller Ltd","SBI Capital Markets Limited"
"214","SBI Capital Markets Limited","Credit Analysis & Research Ltd","SBI Capital Markets Limited"
"215","SBI Capital Markets Limited","PTC India Financial Services Ltd","SBI Capital Markets Limited"
"216","SBI Capital Markets Limited","Punjab & Sind Bank","SBI Capital Markets Limited"
"217","SBI Capital Markets Limited","A2Z Maintenance & Engineering Services Ltd","SBI Capital Markets Limited"
"218","SBI Capital Markets Limited","Tecpro Systems Ltd","SBI Capital Markets Limited"
"219","SBI Capital Markets Limited","Electrosteel Integrated Ltd","SBI Capital Markets Limited"
"220","SBI Capital Markets Limited","Microsec Financial Services Ltd","SBI Capital Markets Limited"
"221","SBI Capital Markets Limited","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd)","SBI Capital Markets Limited"
"222","SBI Capital Markets Limited","Goenka Diamond & Jewels Ltd","SBI Capital Markets Limited"
"223","SBI Capital Markets Limited","DQ Entertainment (International) Ltd","SBI Capital Markets Limited"
"224","SBI Capital Markets Limited","United Bank of India","SBI Capital Markets Limited"
"225","SBI Capital Markets Limited","ARSS Infrastructure Projects Ltd","SBI Capital Markets Limited"
"226","SBI Capital Markets Limited","JSW Energy Limited","SBI Capital Markets Limited"
"227","SBI Capital Markets Limited","Pipavav Shipyard Limited","SBI Capital Markets Limited"
"228","SBI Capital Markets Limited","NHPC Limited","SBI Capital Markets Limited"
"229","SBI Capital Markets Limited","Adani Power Limited","SBI Capital Markets Limited"
"230","SBI Capital Markets Limited","Rural Electrification Corporation Ltd.","SBI Capital Markets Limited"
"231","SBI Capital Markets Limited","BGR Energy Systems Limited","SBI Capital Markets Limited"
"232","SBI Capital Markets Limited","Asian Granito India Ltd","SBI Capital Markets Limited"
"233","SBI Capital Markets Limited","ICRA Limited","SBI Capital Markets Limited"
"234","SBI Capital Markets Limited","Mudra Lifestyle Limited","SBI Capital Markets Limited"
"235","SBI Capital Markets Limited","Indian Bank","SBI Capital Markets Limited"
"236","SBI Capital Markets Limited","Tanla Solutions Ltd","SBI Capital Markets Limited"
"237","BoA Merrill Lynch","Inox Wind Limited","Others"
"238","BoA Merrill Lynch","Bharti Infratel Limited","Others"
"239","BoA Merrill Lynch","Credit Analysis & Research Ltd","Others"
"240","BoA Merrill Lynch","A2Z Maintenance & Engineering Services Ltd","Others"
"241","BoA Merrill Lynch","Coal India Limited","Others"
"242","BoA Merrill Lynch","Jaypee Infratech Ltd","Others"
"243","BoA Merrill Lynch","Adani Power Limited","Others"
"244","BoA Merrill Lynch","Kolte-Patil Developers Limited","Others"
"245","BoA Merrill Lynch","Mundra Port and Special Economic Zone Ltd","Others"
"246","BoA Merrill Lynch","Maytas Infra Limited","Others"
"247","BoA Merrill Lynch","Puravankara Projects Limited","Others"
"248","BoA Merrill Lynch","Omaxe Limited","Others"
"249","BoA Merrill Lynch","Idea Cellular Limited","Others"
"250","BoA Merrill Lynch","Firstsource Solutions Limited","Others"
"251","BoA Merrill Lynch","Cairn India Ltd","Others"
"252","Citigroup Global Markets India Private Limited","Dr. Lal PathLabs Limited","Citigroup Global Markets India Private Limited"
"253","Citigroup Global Markets India Private Limited","Coffee Day Enterprises Ltd","Citigroup Global Markets India Private Limited"
"254","Citigroup Global Markets India Private Limited","Interglobe Aviation Ltd","Citigroup Global Markets India Private Limited"
"255","Citigroup Global Markets India Private Limited","UFO Moviez Ltd","Citigroup Global Markets India Private Limited"
"256","Citigroup Global Markets India Private Limited","Just Dial Ltd","Citigroup Global Markets India Private Limited"
"257","Citigroup Global Markets India Private Limited","L&T Finance Holdings Limited","Citigroup Global Markets India Private Limited"
"258","Citigroup Global Markets India Private Limited","Coal India Limited","Citigroup Global Markets India Private Limited"
"259","Citigroup Global Markets India Private Limited","SKS Microfinance Ltd","Citigroup Global Markets India Private Limited"
"260","Citigroup Global Markets India Private Limited","D B Corp Limited","Citigroup Global Markets India Private Limited"
"261","Citigroup Global Markets India Private Limited","Pipavav Shipyard Limited","Citigroup Global Markets India Private Limited"
"262","Citigroup Global Markets India Private Limited","Oil India Limited","Citigroup Global Markets India Private Limited"
"263","Citigroup Global Markets India Private Limited","Multi Commodity Exchange of India Ltd","Citigroup Global Markets India Private Limited"
