"","IssuerCompany","IssueOpenDate","IssueCloseDate","IssuePrice","IssueType","IssueSize","IPOYear"
"240","Fineotex Chemical Ltd",2011-02-23,2011-02-25,70,"BB",29.48,2011
"241","Lovable Lingeries Ltd",2011-03-08,2011-03-11,205,"BB",93.28,2011
"242","PTC India Financial Services Ltd",2011-03-16,2011-03-18,28,"BB",438.76,2011
"243","Shilpi Cable Technologies Ltd",2011-03-22,2011-03-25,69,"BB",55.88,2011
"244","Muthoot Finance Ltd",2011-04-18,2011-04-21,175,"BB",901.25,2011
"245","Paramount Printpackaging Ltd",2011-04-20,2011-04-25,35,"BB",45.83,2011
"246","Future Ventures India Ltd",2011-04-25,2011-04-28,10,"BB",750,2011
"247","Innoventive Industries Ltd",2011-04-26,2011-04-29,117,"BB",219.58,2011
"248","Servalakshmi Paper Ltd",2011-04-27,2011-04-29,29,"BB",60,2011
"249","Vaswani Industries Ltd",2011-04-29,2011-05-03,49,"BB",115.1,2011
"250","Sanghvi Forging & Engineering Ltd",2011-05-04,2011-05-09,85,"BB",36.9,2011
"251","Aanjaneya Lifecare Ltd",2011-05-09,2011-05-12,234,"BB",117,2011
"252","Galaxy Surfactants Ltd",2011-05-13,2011-05-19,0,"BB",NA,2011
"253","VMS Industries Ltd",2011-05-30,2011-06-02,40,"BB",25.75,2011
"254","Timbor Home Limited",2011-05-30,2011-06-02,63,"BB",23.25,2011
"255","Birla Pacific Medspa Ltd",2011-06-20,2011-06-23,10,"BB",65.18,2011
"256","Rushil Decor Ltd",2011-06-20,2011-06-23,72,"BB",40.64,2011
"257","Readymade Steel India Ltd",2011-06-27,2011-06-29,108,"BB",34.75,2011
"258","Bharatiya Global Infomedia Ltd",2011-07-11,2011-07-14,82,"BB",55.1,2011
"259","Inventure Growth & Securities Ltd",2011-07-20,2011-07-22,117,"BB",81.9,2011
"260","L&T Finance Holdings Limited",2011-07-27,2011-07-29,52,"BB",NA,2011
"261","Tree House Education & Accessories Ltd",2011-08-10,2011-08-12,135,"BB",113.83,2011
"262","Brooks Laboratories Ltd",2011-08-16,2011-08-18,100,"BB",63,2011
"263","SRS Limited",2011-08-23,2011-08-26,58,"BB",203,2011
"264","TD Power Systems Ltd",2011-08-24,2011-08-26,256,"BB",227,2011
"265","PG Electroplast Limited",2011-09-07,2011-09-12,210,"BB",120.65,2011
"266","Prakash Constrowell Ltd",2011-09-19,2011-09-21,138,"BB",60,2011
"267","RDB Rasayans Ltd",2011-09-21,2011-09-23,79,"BB",35.55,2011
"268","Swajas Air Charters Ltd",2011-09-26,2011-10-05,90,"BB",NA,2011
"269","Tijaria Polypipes Ltd",2011-09-27,2011-09-29,60,"FP",60,2011
"270","Onelife Capital Advisors Ltd",2011-09-28,2011-10-04,110,"BB",36.85,2011
"271","M and B Switchgears Ltd",2011-09-28,2011-10-05,186,"BB",93,2011
"272","Taksheel Solutions Ltd",2011-09-29,2011-10-04,150,"BB",82.5,2011
"273","Flexituff International Ltd",2011-09-29,2011-10-05,155,"BB",104.63,2011
"274","Indo Thai Securities Limited",2011-09-30,2011-10-05,74,"BB",29.6,2011
"275","Goodwill Hospital & Research Centre Ltd",2011-12-30,2012-01-09,NA,"BB",NA,2011
"276","Multi Commodity Exchange of India Ltd",2012-02-22,2012-02-24,NA,"BB",663.31,2012
"277","BCB Finance Ltd",2012-02-23,2012-02-27,25,"FP",8.85,2012
"278","Olympic Cards Ltd",2012-03-09,2012-03-13,30,"BB",25,2012
"279","National Buildings Construction Corporation Ltd",2012-03-22,2012-03-27,106,"BB",127.2,2012
"280","MT Educare Limited",2012-03-27,2012-03-29,80,"BB",35,2012
"281","Tribhovandas Bhimji Zaveri Ltd",2012-04-24,2012-04-26,120,"BB",200,2012
"282","Samvardhana Motherson Finance Ltd",2012-05-02,2012-05-04,NA,"BB",NA,2012
"283","Plastene India Limited",2012-05-09,2012-05-15,NA,"BB",NA,2012
"284","Monarch Health Services Ltd",2012-05-12,2012-05-16,40,"FP",12,2012
"285","Speciality Restaurants Ltd",2012-05-16,2012-05-18,150,"BB",176.09,2012
"286","Max Alert Systems Ltd",2012-06-28,2012-07-02,20,"FP",0,2012
"287","VKS Projects Ltd",2012-06-29,2012-07-04,55,"BB",55,2012
"288","Sangam Advisors Ltd",2012-07-24,2012-07-26,22,"FP",0,2012
"289","Jupiter Infomedia Ltd",2012-07-30,2012-08-01,20,"FP",0,2012
"290","Jointeca Education Solutions Ltd",2012-08-16,2012-08-21,15,"FP",5.35,2012
"291","SRG Housing Finance Ltd",2012-08-22,2012-08-28,20,"FP",7.01,2012
"292","Thejo Engineering Ltd",2012-09-04,2012-09-06,402,"BB",19,2012
"293","Comfort Commotrade Ltd",2012-09-05,2012-09-10,10,"FP",6,2012
"294","Anshu's Clothing Limited",2012-09-26,2012-09-28,27,"FP",5.05,2012
"295","RCL Retail Limited",2012-09-27,2012-10-01,10,"FP",0,2012
"296","Bronze infra-tech Ltd",2012-10-19,2012-10-23,15,"FP",0,2012
"297","Tara Jewels Limited",2012-11-21,2012-11-23,230,"BB",183.49,2012
"298","Veto Switchgears and Cables Ltd",2012-12-03,2012-12-05,50,"BB",25,2012
"299","Credit Analysis & Research Ltd",2012-12-07,2012-12-11,750,"BB",539.98,2012
"300","PC Jeweller Ltd",2012-12-10,2012-12-12,135,"BB",609.3,2012
"301","Bharti Infratel Limited",2012-12-11,2012-12-14,220,"BB",NA,2012
"302","Eco Friendly Food Processing Park Ltd",2012-12-27,2012-12-31,25,"FP",7.52,2012
"303","Esteem Bio Organic Food Processing Ltd",2013-01-18,2013-01-22,25,"FP",11.25,2013
"304","V-Mart Retail Ltd",2013-02-01,2013-02-05,210,"BB",94.42,2013
"305","Sai Silks (Kalamandir) Ltd",2013-02-11,2013-02-13,NA,"BB",NA,2013
"306","Sunstar Realty Development Ltd",2013-02-18,2013-02-21,20,"FP",10.62,2013
"307","Kavita Fabrics Ltd",2013-02-20,2013-02-22,40,"FP",5.1,2013
"308","Channel Nine Entertainment Ltd",2013-02-22,2013-02-26,25,"FP",11.67,2013
"309","HPC Biosciences Ltd",2013-03-01,2013-03-05,35,"FP",15.75,2013
"310","Bothra Metals and Alloys Ltd",2013-03-12,2013-03-14,25,"FP",12.21,2013
"311","Repco Home Finance Ltd",2013-03-13,2013-03-15,172,"BB",270.39,2013
"312","GCM Securities Ltd",2013-03-18,2013-03-20,20,"FP",12.18,2013
"313","Lakhotia Polyesters (India) Ltd",2013-03-19,2013-03-21,35,"FP",5.08,2013
"314","Opal Luxury Time Products Ltd",2013-03-25,2013-03-28,130,"BB",13,2013
"315","Ashapura Intimates Fashion Ltd",2013-03-28,2013-04-04,40,"FP",21,2013
"316","Samruddhi Realty Ltd",2013-03-28,2013-04-03,12,"FP",2.6,2013
"317","Scotts Garments Ltd",2013-04-25,2013-05-03,NA,"BB",NA,2013
"318","Onesource Techmedia Ltd",2013-05-17,2013-05-21,14,"FP",2.8,2013
"319","Just Dial Ltd",2013-05-20,2013-05-22,530,"BB",919.14,2013
"320","India Finsec Limited",2013-05-24,2013-05-28,10,"FP",6,2013
"321","Edynamics Solutions Ltd",2013-06-10,2013-06-12,25,"FP",15.6,2013
"322","Money Masters Leasing & Finance Ltd",2013-07-23,2013-07-26,15,"FP",2,2013
"323","Alacrity Securities Ltd",2013-07-29,2013-08-01,15,"FP",9,2013
"324","GCM Commodity & Derivatives Ltd",2013-08-01,2013-08-05,20,"FP",7.02,2013
"325","Silverpoint Infratech Ltd",2013-08-12,2013-08-14,15,"FP",12,2013
"326","VKJ Infradevelopers Ltd",2013-08-12,2013-08-16,25,"FP",12.75,2013
"327","Kushal Tradelink Ltd",2013-08-14,2013-08-21,35,"FP",27.75,2013
"328","Tiger Logistics (India) Ltd",2013-08-27,2013-08-29,66,"FP",7.52,2013
"329","Ace Tours Worldwide Ltd",2013-09-09,2013-09-12,16,"FP",8,2013
"330","Satkar Finlease Limited",2013-09-25,2013-09-27,18,"FP",13.51,2013
"331","Newever Trade Wings Ltd",2013-09-30,2013-10-03,10,"FP",6.32,2013
"332","Subh Tex India Limited",2013-09-30,2013-10-07,10,"FP",3.5,2013
"333","VCU Data Management Ltd",2013-10-04,2013-10-08,25,"FP",18.75,2013
"334","SRG Securities Finance Ltd",2013-10-07,2013-10-14,20,"FP",5.02,2013
"335","Amrapali Capital and Finance Services Ltd",2013-10-15,2013-10-18,100,"FP",25.78,2013
"336","MITCON Consultancy & Engineering Services Ltd",2013-10-15,2013-10-18,61,"FP",25.01,2013
"337","Stellar Capital Services Ltd",2013-10-15,2013-10-18,20,"FP",9,2013
"338","Captain Polyplast Ltd",2013-11-26,2013-11-28,30,"FP",5.94,2013
"339","Tentiwal Wire Products Ltd",2013-12-11,2013-12-16,13,"FP",2.12,2013
"340","Suyog Telematics Ltd",2013-12-30,2014-01-07,25,"FP",4.55,2013
"341","RCI Industries & Technologies Ltd",2013-12-30,2014-01-06,40,"FP",11.52,2013
"342","Chemtech Industrial Valves Ltd",2014-01-15,2014-01-17,15,"FP",7.43,2014
"343","Agrimony Commodities Ltd",2014-01-31,2014-02-04,10,"FP",3.02,2014
"344","Polymac Thermoformers Ltd",2014-02-06,2014-02-10,35,"FP",7.7,2014
"345","Unishire Urban Infra Ltd",2014-02-10,2014-02-12,10,"BB",6.43,2014
"346","SI VI Shipping Corporation Ltd",2014-02-18,2014-02-21,25,"FP",6.86,2014
"347","B C Power Controls Ltd",2014-02-24,2014-02-28,18,"FP",10.37,2014
"348","Sanco Industries Ltd",2014-02-24,2014-02-26,18,"FP",4.32,2014
"349","Karnimata Cold Storage Ltd",2014-02-25,2014-03-03,20,"FP",3.04,2014
"350","Anisha Impex Ltd",2014-03-03,2014-03-05,10,"FP",6.5,2014
"351","Loha Ispaat Ltd",2014-03-11,2014-03-25,NA,"BB",NA,2014
"352","Shri Krishna Prasadam Ltd",2014-03-11,2014-03-14,10,"FP",2.16,2014
"353","Oceanaa Biotek Industries Ltd",2014-03-18,2014-03-20,10,"FP",2.1,2014
"354","Women's Next Loungeries Ltd",2014-03-28,2014-04-07,65,"FP",6.5,2014
"355","R & B Denims Ltd",2014-03-28,2014-04-04,10,"FP",3.71,2014
"356","Wonderla Holidays Ltd",2014-04-21,2014-04-23,125,"BB",181.25,2014
"357","GCM Capital Advisors Ltd",2014-05-05,2014-05-07,20,"FP",0,2014
"358","SPS Finquest Ltd",2014-05-21,2014-05-23,75,"FP",25.08,2014
"359","Dhanuka Commercial Ltd",2014-05-22,2014-05-28,10,"FP",4.44,2014
"360","Tarini International Ltd",2014-06-09,2014-06-13,41,"FP",16.31,2014
"361","Oasis Tradelink Ltd",2014-06-23,2014-06-30,30,"FP",6,2014
"362","Bansal Roofing Products Ltd",2014-06-26,2014-06-30,30,"FP",2.04,2014
"363","Bhanderi Infracon Ltd",2014-07-22,2014-07-25,120,"FP",6.48,2014
"364","Carewell Industries Ltd",2014-07-25,2014-07-30,15,"FP",4.96,2014
"365","Vishal Fabrics Ltd",2014-07-31,2014-08-05,45,"FP",15.63,2014
"366","Snowman Logistics Ltd",2014-08-26,2014-08-28,47,"BB",197.4,2014
"367","Naysaa Securities Ltd",2014-09-05,2014-09-12,15,"FP",0,2014
"368","Sharda Cropchem Ltd",2014-09-05,2014-09-09,156,"BB",351.86,2014
"369","Sirohia & Sons Ltd",2014-09-08,2014-09-10,12,"FP",3.6,2014
"370","Encash Entertainment Ltd",2014-09-09,2014-09-15,40,"FP",4.39,2014
"371","Ultracab India Ltd",2014-09-15,2014-09-23,36,"FP",7.97,2014
"372","Shemaroo Entertainment Ltd",2014-09-16,2014-09-18,153,"BB",120,2014
"373","Momai Apparels Limited",2014-09-25,2014-09-30,78,"BB",30,2014
"374","Aryaman Capital Markets Ltd",2014-09-25,2014-10-01,12,"FP",4.31,2014
"375","Atishay Infotech Limited",2014-09-25,2014-09-29,16,"FP",3.71,2014
"376","Powerhouse Fitness and Realty Ltd",2014-09-29,2014-10-09,30,"FP",7.2,2014
"377","Starlit Power Systems Limited",2014-09-29,2014-10-10,18,"FP",2.95,2014
"378","Dhabriya Polywood Limited",2014-09-29,2014-10-07,15,"FP",3.3,2014
"379","Vibrant Global Capital Limited",2014-09-29,2014-10-07,19,"FP",11.48,2014
"380","ADCC Infocad Limited",2014-09-30,2014-10-08,40,"FP",9.6,2014
"381","JLA Infraville Shoppers Limited",2014-10-16,2014-10-27,10,"FP",2,2014
"382","Jet Infraventure Limited",2014-10-30,2014-11-11,125,"FP",4.5,2014
"383","Aanchal Ispat Ltd",2014-11-24,2014-11-26,20,"FP",16,2014
"384","Captain Pipes Ltd",2014-11-26,2014-12-01,40,"FP",4.4,2014
"385","Anubhav Infrastructure Ltd",2014-11-26,2014-11-28,15,"FP",9,2014
"386","Monte Carlo Fashions Limited",2014-12-03,2014-12-05,645,"BB",350.43,2014
"387","Amsons Apparels Ltd",2014-12-16,2014-12-22,10,"FP",3.25,2014
"388","NCML Industries Ltd",2014-12-29,2015-01-09,NA,"BB",NA,2014
"389","Raghuvansh Agrofarms Ltd",2015-01-09,2015-01-13,11,"FP",3.96,2015
"390","Karnavati Finance Ltd",2015-01-19,2015-01-21,10,"FP",2.58,2015
"391","Akme Star Housing Finance Ltd",2015-02-25,2015-03-05,30,"FP",4.8,2015
"392","Ortel Communications Ltd",2015-03-03,2015-03-05,181,"BB",217.2,2015
"393","Mahabir Metallex Ltd",2015-03-09,2015-03-12,10,"FP",3.9,2015
"394","Adlabs Entertainment Ltd",2015-03-10,2015-03-12,168,"BB",341.48,2015
"395","AGI Infra Ltd",2015-03-10,2015-03-13,54,"FP",0,2015
"396","SSPN Finance Ltd",2015-03-10,2015-03-12,20,"FP",1.5,2015
"397","Supreme (India) Impex Ltd",2015-03-16,2015-03-18,60,"FP",7.87,2015
"398","Inox Wind Limited",2015-03-18,2015-03-20,310,"BB",700,2015
"399","Shareway Securities Ltd",2015-03-24,2015-03-31,14,"FP",5,2015
"400","Filtra Consultants and Engineers Ltd",2015-03-24,2015-03-30,42,"FP",3.11,2015
"401","Athena Constructions Ltd",2015-03-25,2015-03-30,10,"FP",2.5,2015
"402","Yogya Enterprises Ltd",2015-03-25,2015-03-30,15,"FP",1.5,2015
"403","O P Chains Ltd",2015-03-30,2015-04-08,11,"FP",2.04,2015
"404","VRL Logistics Ltd",2015-04-15,2015-04-17,205,"BB",473.88,2015
"405","MEP Infrastructure Developers Ltd",2015-04-21,2015-04-23,63,"BB",324,2015
"406","UFO Moviez Ltd",2015-04-28,2015-04-30,625,"BB",600,2015
"407","PNC Infratech Limited",2015-05-08,2015-05-12,378,"BB",488.44,2015
"408","Funny Software Ltd",2015-05-14,2015-05-20,14,"FP",4.59,2015
"409","Ambition Mica Ltd",2015-06-23,2015-06-30,40,"FP",4.3,2015
"410","Manpasand Beverages Ltd",2015-06-24,2015-06-26,320,"BB",400,2015
"411","Junction Fabrics and Apparels Ltd",2015-06-25,2015-06-29,16,"FP",1.6,2015
"412","Mishka Exim Ltd",2015-06-26,2015-06-30,10,"FP",5.45,2015
"413","VMV Holidays Ltd",2015-06-29,2015-07-01,10,"FP",1.56,2015
"414","Jiya Eco Products Ltd",2015-06-29,2015-07-02,19,"FP",4.58,2015
"415","M D Inducto Cast Ltd",2015-06-30,2015-07-02,27,"FP",17.24,2015
"416","MRSS India",2015-06-30,2015-07-02,12.75,"FP",1.43,2015
"417","Gala Print City Ltd",2015-06-30,2015-07-06,24,"FP",3.04,2015
"418","Loyal Equipments Ltd",2015-07-03,2015-07-07,18,"FP",3.24,2015
"419","Amrapali Fincap Ltd",2015-07-20,2015-07-22,120,"FP",42.48,2015
"420","Pecos Hotels and Pubs Ltd",2015-07-23,2015-07-28,50,"FP",2.3,2015
"421","Syngene International Ltd",2015-07-27,2015-07-29,250,"BB",550,2015
"422","Emkay Taps and Cutting Tools Limited",2015-07-27,2015-07-30,330,"FP",15.55,2015
"423","Mangalam Seeds Limited",2015-07-29,2015-07-31,50,"FP",5.7,2015
"424","Power Mech Projects Ltd",2015-08-07,2015-08-11,640,"BB",273.22,2015
"425","Oyeeee Media Ltd",2015-08-13,2015-08-19,40,"FP",15.9,2015
"426","Universal Autofoundry Limited",2015-08-19,2015-08-21,15,"FP",3.24,2015
"427","Navkar Corporation Limited",2015-08-24,2015-08-26,155,"BB",600,2015
"428","Pennar Engineered Building Systems Ltd",2015-08-25,2015-08-27,178,"BB",156.19,2015
"429","Shree Pushkar Chemicals and Fertilisers Ltd",2015-08-25,2015-08-27,65,"BB",70,2015
"430","Prabhat Dairy Limited",2015-08-28,2015-09-04,115,"BB",520,2015
"431","Sadbhav Infrastructure Project Limited",2015-08-31,2015-09-02,103,"BB",425,2015
"432","H.K. Trade International Limited",2015-08-31,2015-09-03,18,"FP",2.29,2015
"433","P. B. Films Limited",2015-09-01,2015-09-07,10,"FP",5,2015
"434","Sri Krishna Constructions (India) Ltd",2015-09-10,2015-09-15,45,"FP",11.34,2015
"435","Shaival Reality Ltd",2015-09-15,2015-09-18,100,"FP",5.28,2015
"436","Ahimsa Industries Ltd",2015-09-24,2015-10-01,25,"FP",3.8,2015
"437","Vaksons Automobiles Limited",2015-09-28,2015-10-01,26,"FP",6.24,2015
"438","Bella Casa Fashion & Retail Limited",2015-09-28,2015-09-30,14,"FP",3.43,2015
"439","Vishal Bearings Ltd",2015-09-28,2015-09-30,25,"FP",3.24,2015
"440","Cawasji Behramji Catering Services Ltd",2015-09-29,2015-10-05,14,"FP",1.86,2015
"441","Tejnaksh Healthcare Ltd",2015-09-30,2015-10-12,80,"FP",2.43,2015
"442","Patdiam Jewellery Ltd",2015-09-30,2015-10-05,38,"FP",5,2015
"443","Coffee Day Enterprises Ltd",2015-10-14,2015-10-16,328,"BB",NA,2015
"444","Interglobe Aviation Ltd",2015-10-27,2015-10-29,765,"BB",NA,2015
"445","S H Kelkar & Company Ltd",2015-10-28,2015-10-30,180,"BB",200,2015
"446","Perfect Infraengineers Ltd",2015-10-30,2015-11-04,23,"FP",6,2015
"447","Navigant Corporate Advisors Ltd",2015-11-30,2015-12-07,14,"FP",1.19,2015
"448","Dr. Lal PathLabs Limited",2015-12-08,2015-12-10,550,"BB",638,2015
"449","Alkem Laboratories Limited",2015-12-08,2015-12-10,NA,"BB",NA,2015
"450","Suncare Traders Ltd",2015-12-15,2015-12-18,64,"FP",24.22,2015
"451","Narayana Hrudayalaya Ltd",2015-12-17,2015-12-21,250,"BB",613.08,2015
"452","OFS Technologies Ltd",2015-12-28,2015-12-31,25,"FP",4.25,2015
"453","Fourth Dimension Solutions Ltd",2015-12-30,2016-01-07,30,"FP",8.68,2015
"454","Blueblood Ventures Ltd",2016-01-21,2016-01-27,50,"FP",7.04,2016
"455","Precision Camshafts Ltd",2016-01-27,2016-01-29,186,"BB",410,2016
"456","Ganga Pharmaceuticals Ltd",2016-01-29,2016-02-09,15,"FP",1.54,2016
"457","TeamLease Services Ltd",2016-02-02,2016-02-04,850,"BB",423.68,2016
"458","Vidli Restaurants Ltd",2016-02-03,2016-02-05,10,"FP",1.31,2016
"459","Quick Heal Technologies Ltd",2016-02-08,2016-02-10,321,"BB",451.25,2016
"460","Sylph Education Solutions Ltd",2016-02-10,2016-02-15,12,"FP",4.8,2016
"461","K.P. Energy Ltd",2016-02-15,2016-02-17,70,"BB",6.44,2016
"462","Hi-Tech Pipes Ltd",2016-02-15,2016-02-19,50,"FP",13.65,2016
"463","Relicab Cable Manufacturing Ltd",2016-03-09,2016-03-14,20,"FP",0.32,2016
"464","Wealth First Portfolio Managers Ltd",2016-03-10,2016-03-18,50,"FP",8.4,2016
"465","HEC Infra Projects Ltd",2016-03-10,2016-03-18,100,"FP",5.39,2016
"466","Khemani Distributors & Marketing Ltd",2016-03-16,2016-03-18,100,"FP",15.84,2016
"467","Healthcare Global Enterprises Ltd",2016-03-16,2016-03-18,218,"BB",357.3,2016
"468","Umiya Tubes Ltd",2016-03-18,2016-03-22,10,"FP",2,2016
"469","Bharat Wire Ropes Ltd",2016-03-18,2016-03-22,45,"BB",70,2016
"470","Infibeam Incorporation Ltd",2016-03-21,2016-03-23,432,"BB",450,2016
"471","CHD Chemicals Ltd",2016-03-21,2016-03-23,11,"FP",1.98,2016
"472","Nintec Systems Ltd",2016-03-29,2016-04-06,10,"FP",1.88,2016
"473","Franklin Leasing and Finance Ltd",2016-03-30,2016-04-05,15,"FP",6.34,2016
"474","Ruby Cables Ltd",2016-03-30,2016-04-05,50,"FP",10.01,2016
"475","Sysco Industries Ltd",2016-03-31,2016-04-05,10,"FP",2.17,2016
"476","Lancer Containers Lines Ltd",2016-03-31,2016-04-05,12,"FP",1.85,2016
"477","Raghav Ramming Mass Ltd",2016-03-31,2016-04-06,39,"FP",7.49,2016
"478","Equitas Holdings Limited",2016-04-05,2016-04-07,110,"BB",NA,2016
"479","Ghushine Fintrrade Ocean Ltd",2016-04-25,2016-04-27,10,"FP",2.6,2016
"480","Bajaj Healthcare Ltd",2016-04-27,2016-05-02,170,"FP",30.9,2016
"481","Thyrocare Technologies Ltd",2016-04-27,2016-04-29,446,"BB",479.21,2016
"482","Ujjivan Financial Services Ltd",2016-04-28,2016-05-02,201,"BB",887.69,2016
"483","Darshan Orna Limited",2016-05-02,2016-05-11,60,"FP",7.54,2016
"484","Sagardeep Alloys Ltd",2016-05-04,2016-05-09,20,"FP",6,2016
"485","Parag Milk Foods Ltd",2016-05-04,2016-05-11,NA,"BB",0,2016
