"","LMName","IssuerCompany"
"1","Kotak Mahindra Capital Company Limited","Ujjivan Financial Services Ltd IPO"
"2","Kotak Mahindra Capital Company Limited","Infibeam Incorporation Ltd IPO"
"3","Kotak Mahindra Capital Company Limited","Healthcare Global Enterprises Ltd IPO"
"4","Kotak Mahindra Capital Company Limited","Dr. Lal PathLabs Limited IPO"
"5","Kotak Mahindra Capital Company Limited","S H Kelkar & Company Ltd IPO"
"6","Kotak Mahindra Capital Company Limited","Coffee Day Enterprises Ltd IPO"
"7","Kotak Mahindra Capital Company Limited","Sadbhav Infrastructure Project Limited IPO"
"8","Kotak Mahindra Capital Company Limited","Interglobe Aviation Ltd IPO"
"9","Kotak Mahindra Capital Company Limited","Manpasand Beverages Ltd IPO"
"10","Kotak Mahindra Capital Company Limited","Adlabs Entertainment Ltd IPO"
"11","Kotak Mahindra Capital Company Limited","Ortel Communications Ltd IPO"
"12","Kotak Mahindra Capital Company Limited","Bharti Infratel Limited IPO"
"13","Kotak Mahindra Capital Company Limited","PC Jeweller Ltd IPO"
"14","Kotak Mahindra Capital Company Limited","Credit Analysis & Research Ltd IPO"
"15","Kotak Mahindra Capital Company Limited","Speciality Restaurants Ltd IPO"
"16","Kotak Mahindra Capital Company Limited","Future Ventures India Ltd IPO"
"17","Kotak Mahindra Capital Company Limited","Muthoot Finance Ltd IPO"
"18","Kotak Mahindra Capital Company Limited","Prestige Estates Projects Ltd IPO"
"19","Kotak Mahindra Capital Company Limited","Oberoi Realty Ltd IPO"
"20","Kotak Mahindra Capital Company Limited","Tecpro Systems Ltd IPO"
"21","Kotak Mahindra Capital Company Limited","Eros International Media Ltd IPO"
"22","Kotak Mahindra Capital Company Limited","Coal India Limited IPO"
"23","Kotak Mahindra Capital Company Limited","Gujarat Pipavav Port Ltd (GPPL) IPO"
"24","Kotak Mahindra Capital Company Limited","Bajaj Corp Limited IPO"
"25","Kotak Mahindra Capital Company Limited","SKS Microfinance Ltd IPO"
"26","Kotak Mahindra Capital Company Limited","Hindustan Media Ventures Ltd IPO"
"27","Kotak Mahindra Capital Company Limited","Nitesh Estates Limited IPO"
"28","Kotak Mahindra Capital Company Limited","Hathway Cable & Datacom Ltd IPO"
"29","Kotak Mahindra Capital Company Limited","D B Realty Limited IPO"
"30","Kotak Mahindra Capital Company Limited","Vascon Engineers Limited IPO"
"31","Kotak Mahindra Capital Company Limited","Jubilant Foodworks Ltd IPO"
"32","Kotak Mahindra Capital Company Limited","D B Corp Limited IPO"
"33","Kotak Mahindra Capital Company Limited","Godrej Properties Limited IPO"
"34","Kotak Mahindra Capital Company Limited","JSW Energy Limited IPO"
"35","Kotak Mahindra Capital Company Limited","Pipavav Shipyard Limited IPO"
"36","Kotak Mahindra Capital Company Limited","NHPC Limited IPO"
"37","Kotak Mahindra Capital Company Limited","Adani Power Limited IPO"
"38","Kotak Mahindra Capital Company Limited","Mahindra Holidays and Resorts India Ltd IPO"
"39","Kotak Mahindra Capital Company Limited","KSK Energy Ventures Ltd IPO"
"40","Kotak Mahindra Capital Company Limited","Titagarh Wagons Limited IPO"
"41","Kotak Mahindra Capital Company Limited","Shriram EPC Limited IPO"
"42","Kotak Mahindra Capital Company Limited","IRB Infrastructure Developers Ltd IPO"
"43","Kotak Mahindra Capital Company Limited","Future Capital Holdings Ltd IPO"
"44","Kotak Mahindra Capital Company Limited","BGR Energy Systems Limited IPO"
"45","Kotak Mahindra Capital Company Limited","Jyothi Laboratories Limited IPO"
"46","Kotak Mahindra Capital Company Limited","Edelweiss Capital Limited IPO"
"47","Kotak Mahindra Capital Company Limited","Reliance Power Limited IPO"
"48","Kotak Mahindra Capital Company Limited","Maytas Infra Limited IPO"
"49","Kotak Mahindra Capital Company Limited","Consolidated Construction Consortium Ltd IPO"
"50","Kotak Mahindra Capital Company Limited","Power Grid Corporation of India Ltd. IPO"
"51","Kotak Mahindra Capital Company Limited","K.P.R. Mill Limited IPO"
"52","Kotak Mahindra Capital Company Limited","Puravankara Projects Limited IPO"
"53","Kotak Mahindra Capital Company Limited","IVR Prime Urban Developers Ltd IPO"
"54","Kotak Mahindra Capital Company Limited","Housing Development and Infrastructure Ltd IPO"
"55","Kotak Mahindra Capital Company Limited","Fortis Healthcare Ltd IPO"
"56","Kotak Mahindra Capital Company Limited","ICRA Limited IPO"
"57","Kotak Mahindra Capital Company Limited","MindTree Consulting Limited IPO"
"58","Kotak Mahindra Capital Company Limited","Indian Bank IPO"
"59","Kotak Mahindra Capital Company Limited","Power Finance Corporation Ltd. IPO"
"60","Kotak Mahindra Capital Company Limited","Global Broadcast News Ltd IPO"
"61","UBS Securities India Private Limited","Interglobe Aviation Ltd IPO"
"62","UBS Securities India Private Limited","Bharti Infratel Limited IPO"
"63","UBS Securities India Private Limited","Prestige Estates Projects Ltd IPO"
"64","UBS Securities India Private Limited","Orient Green Power Company Ltd IPO"
"65","UBS Securities India Private Limited","Hathway Cable & Datacom Ltd IPO"
"66","UBS Securities India Private Limited","Future Capital Holdings Ltd IPO"
"67","UBS Securities India Private Limited","BGR Energy Systems Limited IPO"
"68","UBS Securities India Private Limited","Reliance Power Limited IPO"
"69","UBS Securities India Private Limited","Simplex Projects Limited IPO"
"70","UBS Securities India Private Limited","DLF Limited IPO"
"71","UBS Securities India Private Limited","Advanta India Limited IPO"
"72","UBS Securities India Private Limited","Idea Cellular Limited IPO"
"73","ABN AMRO Securities (India) Private Limited","Cairn India Ltd IPO"
"74","Deutsche Equities India Private Limited","Adlabs Entertainment Ltd IPO"
"75","Deutsche Equities India Private Limited","Bharti Infratel Limited IPO"
"76","Deutsche Equities India Private Limited","Ramky Infrastructure Ltd IPO"
"77","Deutsche Equities India Private Limited","Coal India Limited IPO"
"78","Deutsche Equities India Private Limited","Den Networks Limited IPO"
"79","Deutsche Equities India Private Limited","IRB Infrastructure Developers Ltd IPO"
"80","Deutsche Equities India Private Limited","OnMobile Global Limited IPO"
"81","Deutsche Equities India Private Limited","DLF Limited IPO"
"82","Deutsche Equities India Private Limited","Firstsource Solutions Limited IPO"
"83","Enam Securities Private Limited","Bharti Infratel Limited IPO"
"84","Enam Securities Private Limited","Tara Jewels Limited IPO"
"85","Enam Securities Private Limited","MT Educare Limited IPO"
"86","Enam Securities Private Limited","National Buildings Construction Corporation Ltd IPO"
"87","Enam Securities Private Limited","TD Power Systems Ltd IPO"
"88","Enam Securities Private Limited","Future Ventures India Ltd IPO"
"89","Enam Securities Private Limited","Punjab & Sind Bank IPO"
"90","Enam Securities Private Limited","A2Z Maintenance & Engineering Services Ltd IPO"
"91","Enam Securities Private Limited","Claris Lifesciences Limited IPO"
"92","Enam Securities Private Limited","Prestige Estates Projects Ltd IPO"
"93","Enam Securities Private Limited","Oberoi Realty Ltd IPO"
"94","Enam Securities Private Limited","Ashoka Buildcon Ltd IPO"
"95","Enam Securities Private Limited","Electrosteel Integrated Ltd IPO"
"96","Enam Securities Private Limited","Ramky Infrastructure Ltd IPO"
"97","Enam Securities Private Limited","Eros International Media Ltd IPO"
"98","Enam Securities Private Limited","Indosolar Ltd IPO"
"99","Enam Securities Private Limited","VA Tech Wabag Ltd IPO"
"100","Enam Securities Private Limited","Coal India Limited IPO"
"101","Enam Securities Private Limited","Jaypee Infratech Ltd IPO"
"102","Enam Securities Private Limited","Nitesh Estates Limited IPO"
"103","Enam Securities Private Limited","Persistent Systems Limited IPO"
"104","Enam Securities Private Limited","IL&FS Transportation Networks Ltd IPO"
"105","Enam Securities Private Limited","United Bank of India IPO"
"106","Enam Securities Private Limited","D B Realty Limited IPO"
"107","Enam Securities Private Limited","Vascon Engineers Limited IPO"
"108","Enam Securities Private Limited","D B Corp Limited IPO"
"109","Enam Securities Private Limited","Pipavav Shipyard Limited IPO"
"110","Enam Securities Private Limited","NHPC Limited IPO"
"111","Enam Securities Private Limited","Adani Power Limited IPO"
"112","Enam Securities Private Limited","Future Capital Holdings Ltd IPO"
"113","Enam Securities Private Limited","Brigade Enterprises Limited IPO"
"114","Enam Securities Private Limited","Transformers and Rectifiers India Ltd IPO"
"115","Enam Securities Private Limited","Jyothi Laboratories Limited IPO"
"116","Enam Securities Private Limited","Mundra Port and Special Economic Zone Ltd IPO"
"117","Enam Securities Private Limited","Religare Enterprises Limited IPO"
"118","Enam Securities Private Limited","Reliance Power Limited IPO"
"119","Enam Securities Private Limited","Consolidated Construction Consortium Ltd IPO"
"120","Enam Securities Private Limited","Power Grid Corporation of India Ltd. IPO"
"121","Enam Securities Private Limited","IVR Prime Urban Developers Ltd IPO"
"122","Enam Securities Private Limited","Central Bank of India IPO"
"123","Enam Securities Private Limited","Vishal Retail Ltd IPO"
"124","Enam Securities Private Limited","Indian Bank IPO"
"125","Enam Securities Private Limited","Redington (India) Limited IPO"
"126","Enam Securities Private Limited","Power Finance Corporation Ltd. IPO"
"127","Enam Securities Private Limited","Akruti Nirman Limited IPO"
"128","Enam Securities Private Limited","Cinemax India Ltd IPO"
"129","ICICI Securities Limited","Ujjivan Financial Services Ltd IPO"
"130","ICICI Securities Limited","Thyrocare Technologies Ltd IPO"
"131","ICICI Securities Limited","Equitas Holdings Limited IPO"
"132","ICICI Securities Limited","Infibeam Incorporation Ltd IPO"
"133","ICICI Securities Limited","Quick Heal Technologies Ltd IPO"
"134","ICICI Securities Limited","TeamLease Services Ltd IPO"
"135","ICICI Securities Limited","Sadbhav Infrastructure Project Limited IPO"
"136","ICICI Securities Limited","Manpasand Beverages Ltd IPO"
"137","ICICI Securities Limited","PNC Infratech Limited IPO"
"138","ICICI Securities Limited","VRL Logistics Ltd IPO"
"139","ICICI Securities Limited","Shemaroo Entertainment Ltd IPO"
"140","ICICI Securities Limited","Wonderla Holidays Ltd IPO"
"141","ICICI Securities Limited","Bharti Infratel Limited IPO"
"142","ICICI Securities Limited","Credit Analysis & Research Ltd IPO"
"143","ICICI Securities Limited","Tara Jewels Limited IPO"
"144","ICICI Securities Limited","Muthoot Finance Ltd IPO"
"145","ICICI Securities Limited","PTC India Financial Services Ltd IPO"
"146","ICICI Securities Limited","Punjab & Sind Bank IPO"
"147","ICICI Securities Limited","A2Z Maintenance & Engineering Services Ltd IPO"
"148","ICICI Securities Limited","Claris Lifesciences Limited IPO"
"149","ICICI Securities Limited","Commercial Engineers & Body Builders Co Ltd IPO"
"150","ICICI Securities Limited","Parabolic Drugs Limited IPO"
"151","ICICI Securities Limited","Jaypee Infratech Ltd IPO"
"152","ICICI Securities Limited","Nitesh Estates Limited IPO"
"153","ICICI Securities Limited","Shree Ganesh Jewellery House Ltd IPO"
"154","ICICI Securities Limited","Godrej Properties Limited IPO"
"155","ICICI Securities Limited","JSW Energy Limited IPO"
"156","ICICI Securities Limited","Adani Power Limited IPO"
"157","ICICI Securities Limited","Rural Electrification Corporation Ltd. IPO"
"158","ICICI Securities Limited","Shriram EPC Limited IPO"
"159","ICICI Securities Limited","OnMobile Global Limited IPO"
"160","ICICI Securities Limited","Manaksia Limited IPO"
"161","ICICI Securities Limited","Brigade Enterprises Limited IPO"
"162","ICICI Securities Limited","K.P.R. Mill Limited IPO"
"163","ICICI Securities Limited","Central Bank of India IPO"
"164","ICICI Securities Limited","DLF Limited IPO"
"165","ICICI Securities Limited","Firstsource Solutions Limited IPO"
"166","ICICI Securities Limited","Indian Bank IPO"
"167","ICICI Securities Limited","Power Finance Corporation Ltd. IPO"
"168","ICICI Securities Limited","Global Broadcast News Ltd IPO"
"169","JM Financial Consultants Private Limited","Thyrocare Technologies Ltd IPO"
"170","JM Financial Consultants Private Limited","S H Kelkar & Company Ltd IPO"
"171","JM Financial Consultants Private Limited","Repco Home Finance Ltd IPO"
"172","JM Financial Consultants Private Limited","Tree House Education & Accessories Ltd IPO"
"173","JM Financial Consultants Private Limited","L&T Finance Holdings Limited IPO"
"174","JM Financial Consultants Private Limited","Future Ventures India Ltd IPO"
"175","JM Financial Consultants Private Limited","PTC India Financial Services Ltd IPO"
"176","JM Financial Consultants Private Limited","Claris Lifesciences Limited IPO"
"177","JM Financial Consultants Private Limited","BS Transcomm Ltd IPO"
"178","JM Financial Consultants Private Limited","Orient Green Power Company Ltd IPO"
"179","JM Financial Consultants Private Limited","Career Point Infosystems Ltd IPO"
"180","JM Financial Consultants Private Limited","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd) IPO"
"181","JM Financial Consultants Private Limited","IL&FS Transportation Networks Ltd IPO"
"182","JM Financial Consultants Private Limited","JSW Energy Limited IPO"
"183","JM Financial Consultants Private Limited","Pipavav Shipyard Limited IPO"
"184","JM Financial Consultants Private Limited","Oil India Limited IPO"
"185","JM Financial Consultants Private Limited","Adani Power Limited IPO"
"186","JM Financial Consultants Private Limited","Future Capital Holdings Ltd IPO"
"187","JM Financial Consultants Private Limited","eClerx Services Limited IPO"
"188","JM Financial Consultants Private Limited","Mundra Port and Special Economic Zone Ltd IPO"
"189","JM Financial Consultants Private Limited","Maytas Infra Limited IPO"
"190","JM Financial Consultants Private Limited","Omaxe Limited IPO"
"191","JM Financial Consultants Private Limited","Fortis Healthcare Ltd IPO"
"192","J.P. Morgan India Private Limited","Quick Heal Technologies Ltd IPO"
"193","J.P. Morgan India Private Limited","Alkem Laboratories Limited IPO"
"194","J.P. Morgan India Private Limited","Interglobe Aviation Ltd IPO"
"195","J.P. Morgan India Private Limited","Bharti Infratel Limited IPO"
"196","J.P. Morgan India Private Limited","MOIL Limited IPO"
"197","J.P. Morgan India Private Limited","Prestige Estates Projects Ltd IPO"
"198","J.P. Morgan India Private Limited","Oberoi Realty Ltd IPO"
"199","J.P. Morgan India Private Limited","Persistent Systems Limited IPO"
"200","J.P. Morgan India Private Limited","JSW Energy Limited IPO"
"201","J.P. Morgan India Private Limited","Brigade Enterprises Limited IPO"
"202","J.P. Morgan India Private Limited","Reliance Power Limited IPO"
"203","J.P. Morgan India Private Limited","Koutons Retail India Limited IPO"
"204","J.P. Morgan India Private Limited","MindTree Consulting Limited IPO"
"205","J.P. Morgan India Private Limited","Akruti Nirman Limited IPO"
"206","Macquarie India Advisory Services Private Limited","Sadbhav Infrastructure Project Limited IPO"
"207","Macquarie India Advisory Services Private Limited","Gammon Infrastructure Projects Ltd IPO"
"208","SBI Capital Markets Limited","Infibeam Incorporation Ltd IPO"
"209","SBI Capital Markets Limited","Precision Camshafts Ltd IPO"
"210","SBI Capital Markets Limited","Navkar Corporation Limited IPO"
"211","SBI Capital Markets Limited","Monte Carlo Fashions Limited IPO"
"212","SBI Capital Markets Limited","Repco Home Finance Ltd IPO"
"213","SBI Capital Markets Limited","PC Jeweller Ltd IPO"
"214","SBI Capital Markets Limited","Credit Analysis & Research Ltd IPO"
"215","SBI Capital Markets Limited","PTC India Financial Services Ltd IPO"
"216","SBI Capital Markets Limited","Punjab & Sind Bank IPO"
"217","SBI Capital Markets Limited","A2Z Maintenance & Engineering Services Ltd IPO"
"218","SBI Capital Markets Limited","Tecpro Systems Ltd IPO"
"219","SBI Capital Markets Limited","Electrosteel Integrated Ltd IPO"
"220","SBI Capital Markets Limited","Microsec Financial Services Ltd IPO"
"221","SBI Capital Markets Limited","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd) IPO"
"222","SBI Capital Markets Limited","Goenka Diamond & Jewels Ltd IPO"
"223","SBI Capital Markets Limited","DQ Entertainment (International) Ltd IPO"
"224","SBI Capital Markets Limited","United Bank of India IPO"
"225","SBI Capital Markets Limited","ARSS Infrastructure Projects Ltd IPO"
"226","SBI Capital Markets Limited","JSW Energy Limited IPO"
"227","SBI Capital Markets Limited","Pipavav Shipyard Limited IPO"
"228","SBI Capital Markets Limited","NHPC Limited IPO"
"229","SBI Capital Markets Limited","Adani Power Limited IPO"
"230","SBI Capital Markets Limited","Rural Electrification Corporation Ltd. IPO"
"231","SBI Capital Markets Limited","BGR Energy Systems Limited IPO"
"232","SBI Capital Markets Limited","Asian Granito India Ltd IPO"
"233","SBI Capital Markets Limited","ICRA Limited IPO"
"234","SBI Capital Markets Limited","Mudra Lifestyle Limited IPO"
"235","SBI Capital Markets Limited","Indian Bank IPO"
"236","SBI Capital Markets Limited","Tanla Solutions Ltd IPO"
"237","BoA Merrill Lynch","Inox Wind Limited IPO"
"238","BoA Merrill Lynch","Bharti Infratel Limited IPO"
"239","BoA Merrill Lynch","Credit Analysis & Research Ltd IPO"
"240","BoA Merrill Lynch","A2Z Maintenance & Engineering Services Ltd IPO"
"241","BoA Merrill Lynch","Coal India Limited IPO"
"242","BoA Merrill Lynch","Jaypee Infratech Ltd IPO"
"243","BoA Merrill Lynch","Adani Power Limited IPO"
"244","BoA Merrill Lynch","Kolte-Patil Developers Limited IPO"
"245","BoA Merrill Lynch","Mundra Port and Special Economic Zone Ltd IPO"
"246","BoA Merrill Lynch","Maytas Infra Limited IPO"
"247","BoA Merrill Lynch","Puravankara Projects Limited IPO"
"248","BoA Merrill Lynch","Omaxe Limited IPO"
"249","BoA Merrill Lynch","Idea Cellular Limited IPO"
"250","BoA Merrill Lynch","Firstsource Solutions Limited IPO"
"251","BoA Merrill Lynch","Cairn India Ltd IPO"
"252","Citigroup Global Markets India Private Limited","Dr. Lal PathLabs Limited IPO"
"253","Citigroup Global Markets India Private Limited","Coffee Day Enterprises Ltd IPO"
"254","Citigroup Global Markets India Private Limited","Interglobe Aviation Ltd IPO"
"255","Citigroup Global Markets India Private Limited","UFO Moviez Ltd IPO"
"256","Citigroup Global Markets India Private Limited","Just Dial Ltd IPO"
"257","Citigroup Global Markets India Private Limited","L&T Finance Holdings Limited IPO"
"258","Citigroup Global Markets India Private Limited","Coal India Limited IPO"
"259","Citigroup Global Markets India Private Limited","SKS Microfinance Ltd IPO"
"260","Citigroup Global Markets India Private Limited","D B Corp Limited IPO"
"261","Citigroup Global Markets India Private Limited","Pipavav Shipyard Limited IPO"
"262","Citigroup Global Markets India Private Limited","Oil India Limited IPO"
"263","Citigroup Global Markets India Private Limited","Multi Commodity Exchange of India Ltd IPO"
"264","Citigroup Global Markets India Private Limited","Edelweiss Capital Limited IPO"
"265","Citigroup Global Markets India Private Limited","Religare Enterprises Limited IPO"
"266","Citigroup Global Markets India Private Limited","Power Grid Corporation of India Ltd. IPO"
"267","Citigroup Global Markets India Private Limited","Motilal Oswal Financial Services Ltd IPO"
"268","Citigroup Global Markets India Private Limited","Puravankara Projects Limited IPO"
"269","Citigroup Global Markets India Private Limited","Central Bank of India IPO"
"270","Citigroup Global Markets India Private Limited","Omaxe Limited IPO"
"271","Citigroup Global Markets India Private Limited","DLF Limited IPO"
"272","Citigroup Global Markets India Private Limited","Fortis Healthcare Ltd IPO"
"273","Citigroup Global Markets India Private Limited","Idea Cellular Limited IPO"
"274","Keynote Corporate Services Ltd","Shree Pushkar Chemicals and Fertilisers Ltd IPO"
"275","Keynote Corporate Services Ltd","Servalakshmi Paper Ltd IPO"
"276","Keynote Corporate Services Ltd","Gravita India Ltd IPO"
"277","Keynote Corporate Services Ltd","Bedmutha Industries Ltd IPO"
"278","Keynote Corporate Services Ltd","Prakash Steelage Ltd IPO"
"279","Keynote Corporate Services Ltd","Emmbi Polyarns Limited IPO"
"280","Keynote Corporate Services Ltd","Thangamayil Jewellery Limited IPO"
"281","Keynote Corporate Services Ltd","Edserv Softsystems Limited IPO"
"282","Keynote Corporate Services Ltd","20 Microns Limited IPO"
"283","Keynote Corporate Services Ltd","Vishal Information Technologies Ltd IPO"
"284","Keynote Corporate Services Ltd","Lotus Eye Care Hospital Limited IPO"
"285","Keynote Corporate Services Ltd","Avon Weighing Systems Limited IPO"
"286","Keynote Corporate Services Ltd","Bafna Pharmaceuticals Limited IPO"
"287","Keynote Corporate Services Ltd","Sita Shree Food Products Ltd IPO"
"288","Keynote Corporate Services Ltd","Porwal Auto Components Limited IPO"
"289","Keynote Corporate Services Ltd","Refex Refrigerants Limited IPO"
"290","Keynote Corporate Services Ltd","Pyramid Saimira Theatre Ltd IPO"
"291","Keynote Corporate Services Ltd","Deep Industries Ltd IPO"
