IssuerCompany,Sector
20 Microns Limited,Mining & Minerals
A2Z Maintenance & Engineering Services Ltd,Power - Transmission & Equipment
Accel Frontline Limited,Computers - Software Medium & Small
Acropetal Technologies Ltd,Computers - Software
Action Construction Equipment Ltd,Engineering - Heavy
Adani Power Limited,Power - Generation & Distribution
Adlabs Entertainment Ltd,Miscellaneous
Advanta India Limited,Miscellaneous
Aishwarya Telecom Limited,Telecommunications - Equipment
Akruti Nirman Limited,Castings & Forgings
Alkali Metals Limited,Chemicals
Alkem Laboratories Limited,Pharmaceuticals
Allied Digital Services Limited,Computers - Software Medium & Small
Alpa Laboratories Limited,Textiles - Weaving
AMD Metplast Limited,Packaging
AMD Metplast Limited,Packaging
Ankit Metal & Power Ltd,Steel - Sponge Iron
Archidply Industries Ltd,Miscellaneous
Aries Agro Limited,Miscellaneous
ARSS Infrastructure Projects Ltd,Construction & Contracting - Civil
Asahi Songwon Colors Ltd,Dyes & Pigments
Ashoka Buildcon Ltd,Construction & Contracting - Civil
Asian Granito India Ltd,Ceramics & Granite
Astec LifeSciences Limited,Pharmaceuticals
Aster Silicates Ltd,Pharmaceuticals
Astral Poly Technik Limited,Plastics
Atlanta Limited,Construction & Contracting - Civil
Autoline Industries Limited,Auto Ancillaries
Bafna Pharmaceuticals Limited,Pharmaceuticals
Bajaj Corp Limited,Personal Care
Bang Overseas Limited,Textiles - General
Barak Valley Cements Ltd,Textiles - Spinning - Synthetic Blended
Bedmutha Industries Ltd,Steel - Medium & Small
BEML LTD (Bharat Earth Movers Ltd),Infrastructure - General
BGR Energy Systems Limited,Infrastructure - General
Bhagwati Banquets And Hotels Ltd,Castings & Forgings
Bharat Wire Ropes Ltd,Engineering
Bharatiya Global Infomedia Ltd,Miscellaneous
Bharti Infratel Limited,Telecommunications - Equipment
Birla Cotsyn (India) Limited,Textiles - Spinning - Synthetic Blended
Birla Shloka Edutech Limited,Computers - Hardware
Brigade Enterprises Limited,Construction & Contracting - Real Estate
Broadcast Initiatives Limited,Media & Entertainment
Brooks Laboratories Ltd,Construction & Contracting - Civil
Burnpur Cement Limited,Cement - Major
C & C Constructions Limited,Construction & Contracting - Civil
Cairn India Ltd,Oil Drilling And Exploration
Cambridge Technology Enterprises Ltd,Computers - Software Medium & Small
Cantabil Retail India Ltd,Retail
Career Point Infosystems Ltd,Computers - Software - Training
Celestial Labs Limited,Pharmaceuticals
Central Bank of India,Banks - Public Sector
Cinemax India Ltd,Media & Entertainment
Claris Lifesciences Limited,Pharmaceuticals
Coal India Limited,Mining & Minerals
Coffee Day Enterprises Ltd,Food Processing
Commercial Engineers & Body Builders Co Ltd,Engineering
Consolidated Construction Consortium Ltd,Miscellaneous
Cords Cable Industries Limited,Cables - Power & Others
Cox and Kings (India) Limited,Miscellaneous
Credit Analysis & Research Ltd,Trading
D B Corp Limited,Electrodes & Graphite
D B Realty Limited,Electrodes & Graphite
Deep Industries Ltd,Oil Drilling And Exploration
Den Networks Limited,Media & Entertainment
Development Credit Bank Ltd,Pharmaceuticals
DLF Limited,Construction & Contracting - Real Estate
DQ Entertainment (International) Ltd,Media & Entertainment
Dr. Lal PathLabs Limited,Pharmaceuticals
eClerx Services Limited,Computers - Software Medium & Small
Edelweiss Capital Limited,Finance - General
Electrosteel Integrated Ltd,Castings & Forgings
Emmbi Polyarns Limited,Packaging
Empee Distilleries Limited,Breweries & Distilleries
Engineers India Limited,Power - Generation & Distribution
Engineers India Ltd,Power - Generation & Distribution
Equitas Holdings Limited,Finance - General
Eros International Media Ltd,Finance - General
Ess Dee Aluminium Ltd,Packaging
Euro Ceramics Limited,Ceramics & Granite
Euro Multivision Limited,Leather Products
Everonn Systems India Limited,Computers - Software - Training
Excel Infoways Limited,Pesticides & Agro Chemicals
Fiem Industries Limited,Auto Ancillaries
Fineotex Chemical Ltd,Chemicals
First Winner Industries Limited,Textiles - General
Firstsource Solutions Limited,Computers - Software Medium & Small
Flexituff International Ltd,Food Processing
Fortis Healthcare Ltd,Hospitals & Medical Services
Future Capital Holdings Ltd,Miscellaneous
Future Ventures India Ltd,Retail
Gallantt Ispat Ltd,Steel - Sponge Iron
Gammon Infrastructure Projects Ltd,Construction & Contracting - Civil
Gayatri Projects Limited,Construction & Contracting - Civil
Global Broadcast News Ltd,Ceramics & Granite
Global Vectra Helicorp Ltd,Miscellaneous
Globus Spirits Limited,Breweries & Distilleries
Godrej Properties Limited,Construction & Contracting - Real Estate
Goenka Diamond & Jewels Ltd,Diamond Cutting & Jewellery & Precious Metals
Gokul Refoils and Solvent Limited,Edible Oils & Solvent Extraction
Gravita India Ltd,Miscellaneous
Gremach Infrastructure Ltd,Miscellaneous
GSS America Infotech Ltd,Textiles - Manmade
Gujarat Pipavav Port Ltd (GPPL),Shipping
Gwalior Chemical Industries Ltd,Power - Generation & Distribution
Gyscoal Alloys Ltd,Steel - Sponge Iron
Hanung Toys And Textiles Ltd,Miscellaneous
Hathway Cable & Datacom Ltd,Media & Entertainment
Healthcare Global Enterprises Ltd,Hospitals & Medical Services
Hilton Metal Forging Ltd,Castings & Forgings
Hindustan Media Ventures Ltd,Media & Entertainment
House of Pearl Fashions Ltd,Hotels
Housing Development and Infrastructure Ltd,Hotels
HOV Services Limited,Computers - Software Medium & Small
ICICI Bank Limited,Banks - Private Sector
ICRA Limited,Miscellaneous
Idea Cellular Limited,Telecommunications - Service
IL&FS Transportation Networks Ltd,Computers - Software Medium & Small
Indiabulls Power Limited,Finance - Housing
Indian Bank,Banks - Public Sector
Indo Thai Securities Limited,Finance - General
Indosolar Ltd,Miscellaneous
Indowind Energy Limited,Power - Generation & Distribution
Infibeam Incorporation Ltd,Miscellaneous
Infinite Computer Solutions India Ltd,Computers - Software
Info Edge India Ltd (Naukri.com),Miscellaneous
Inox Wind Limited,Power - Generation & Distribution
Insecticides India Ltd,Pesticides & Agro Chemicals
Interglobe Aviation Ltd,Transport & Logistics
Intrasoft Technologies Limited,Miscellaneous
Inventure Growth & Securities Ltd,Finance - Investments
IRB Infrastructure Developers Ltd,Infrastructure - General
J Kumar Infraprojects Limited,Construction & Contracting - Civil
Jaypee Infratech Ltd,Infrastructure - General
JHS Svendgaard Laboratories Ltd,Personal Care
Jindal Cotex Limited,Textiles - Spinning - Cotton Blended
JSW Energy Limited,Power - Generation & Distribution
Jubilant Foodworks Ltd,Miscellaneous
Just Dial Ltd,Miscellaneous
Jyothi Laboratories Limited,Vanaspati & Oils
K.P.R. Mill Limited,Power - Transmission & Equipment
Kaushalya Infrastructure Dev Corp Ltd,Construction & Contracting - Civil
Kaveri Seed Company Limited,Miscellaneous
Kiri Dyes and Chemicals Limited,Miscellaneous
KLRF Limited,Food Processing
KNR Constructions Limited,Construction & Contracting - Civil
Kolte-Patil Developers Limited,Construction & Contracting - Real Estate
KSK Energy Ventures Ltd,Power - Generation & Distribution
L&T Finance Holdings Limited,Finance - Investments
L.T. Overseas Limited,Finance - Investments
Lanco Infratech Limited,Infrastructure - General
Lawreshwar Polymers Ltd,Leather Products
Lotus Eye Care Hospital Limited,Hospitals & Medical Services
Lovable Lingeries Ltd,Textiles - Readymade Apparels
Lumax Auto Technologies Ltd,Auto Ancillaries
M and B Switchgears Ltd,Diamond Cutting & Jewellery & Precious Metals
Magnum Ventures Limited,Paper
Mahindra Holidays and Resorts India Ltd,Hotels
Man Infraconstruction Ltd,Construction & Contracting - Civil
Manaksia Limited,Aluminium
Mandhana Industries Limited,Textiles - General
Manpasand Beverages Ltd,Food Processing
Maytas Infra Limited,Textiles - Readymade Apparels
MBL Infrastructures Ltd,Construction & Contracting - Civil
Meghmani Organics Limited,Pesticides & Agro Chemicals
MEP Infrastructure Developers Ltd,Infrastructure - General
MIC Electronics Limited,Telecommunications - Equipment
Microsec Financial Services Ltd,Finance - General
MindTree Consulting Limited,Computers - Software
MOIL Limited,Mining & Minerals
Monte Carlo Fashions Limited,Textiles - Readymade Apparels
Motilal Oswal Financial Services Ltd,Finance - General
MT Educare Limited,Computers - Software - Training
Mudra Lifestyle Limited,Telecommunications - Service
Multi Commodity Exchange of India Ltd,Construction & Contracting - Civil
Mundra Port and Special Economic Zone Ltd,Plastics
Muthoot Finance Ltd,Finance - Investments
Narayana Hrudayalaya Ltd,Hospitals & Medical Services
National Buildings Construction Corporation Ltd,Paper
Navkar Corporation Limited,Transport & Logistics
Nelcast Limited,Castings & Forgings
NHPC Limited,Power - Generation & Distribution
Niraj Cement Structurals Ltd,Construction & Contracting - Civil
Nitesh Estates Limited,Construction & Contracting - Real Estate
Nitin Fire Protection Industries Ltd,Miscellaneous
NMDC Limited,Mining & Minerals
NTPC Limited,Power - Generation & Distribution
Nu Tek India Limited,Telecommunications - Service
Oberoi Realty Ltd,Construction & Contracting - Real Estate
Oil India Limited,Oil Drilling And Exploration
Olympic Cards Ltd,Printing & Stationery
Omaxe Limited,Construction & Contracting - Real Estate
Omkar Speciality Chemicals Ltd,Chemicals
Omnitech InfoSolutions Limited,Computers - Software Medium & Small
Onelife Capital Advisors Ltd,Finance - Investments
OnMobile Global Limited,Computers - Software Medium & Small
Orbit Corporation Limited,Construction & Contracting - Real Estate
Orient Green Power Company Ltd,Power - Generation & Distribution
Oriental Trimex Limited,Ceramics & Granite
Ortel Communications Ltd,Media & Entertainment
Page Industries Ltd (Jockey India),Textiles - Readymade Apparels
Parabolic Drugs Limited,Pharmaceuticals
Paramount Printpackaging Ltd,Packaging
Parsvnath Developers Limited,Construction & Contracting - Real Estate
PC Jeweller Ltd,Diamond Cutting & Jewellery & Precious Metals
Pennar Engineered Building Systems Ltd,Miscellaneous
Persistent Systems Limited,Computers - Software
PG Electroplast Limited,Consumer Goods - Electronic
Pipavav Shipyard Limited,Finance - Leasing & Hire Purchase
PNC Infratech Limited,Construction & Contracting - Real Estate
Pochiraju Industries Limited,Miscellaneous
Porwal Auto Components Limited,Auto Ancillaries
Power Finance Corporation Ltd,Finance - Term Lending Institutions
Power Finance Corporation Ltd.,Finance - Term Lending Institutions
Power Grid Corporation of India,Power - Generation & Distribution
Power Grid Corporation of India Ltd,Power - Generation & Distribution
Power Grid Corporation of India Ltd.,Power - Generation & Distribution
Power Mech Projects Ltd,Infrastructure - General
Prabhat Dairy Limited,Food Processing
Prakash Constrowell Ltd,Construction & Contracting - Civil
Prakash Steelage Ltd,Steel - Tubes & Pipes
Precision Camshafts Ltd,Auto Ancillaries
Precision Pipes and Profiles Company Ltd,Telecommunications - Equipment
Prestige Estates Projects Ltd,Construction & Contracting - Real Estate
PTC India Financial Services Ltd,Finance - Term Lending Institutions
Punjab & Sind Bank,Banks - Public Sector
Puravankara Projects Limited,Construction & Contracting - Real Estate
Quick Heal Technologies Ltd,Computers - Software
Raj Oil Mills Limited,Edible Oils & Solvent Extraction
Raj Television Network Ltd,Media & Entertainment
Ramky Infrastructure Ltd,Construction & Contracting - Civil
Rathi Bars Ltd,Steel - Medium & Small
Ravi Kumar Distilleries Ltd,Breweries & Distilleries
RDB Rasayans Ltd,Packaging
Readymade Steel India Ltd,Construction & Contracting - Real Estate
Redington (India) Limited,Computers - Hardware
Refex Refrigerants Limited,Chemicals
Reliance Power Limited,Power - Generation & Distribution
Religare Enterprises Limited,Finance - Investments
Renaissance Jewellery Limited,Diamond Cutting & Jewellery & Precious Metals
Repco Home Finance Ltd,Finance - Housing
Resurgere Mines & Minerals India Ltd,Mining & Minerals
Richa Knits Limited,Textiles - General
Rishabhdev Technocable Ltd,Cables - Power & Others
Roman Tarmat Limited,Computers - Software
RPP Infra Projects Ltd,Construction & Contracting - Civil
Ruchira Papers Limited,Paper
Rural Electrification Corporation Ltd,Textiles - Hosiery & Knitwear
Rural Electrification Corporation Ltd.,Textiles - Hosiery & Knitwear
Rushil Decor Ltd,Miscellaneous
S H Kelkar & Company Ltd,Miscellaneous
Saamya Biotech India Ltd,Pharmaceuticals
Sadbhav Infrastructure Project Limited,Infrastructure - General
Sanghvi Forging & Engineering Ltd,Castings & Forgings
Sejal Architectural Glass Ltd,Hospitals & Medical Services
SEL Manufacturing Company Ltd,Hospitals & Medical Services
Sharda Cropchem Ltd,Pesticides & Agro Chemicals
Shekhawati Poly-Yarn Ltd,Textiles - Manmade
Shemaroo Entertainment Ltd,Media & Entertainment
Shilpi Cable Technologies Ltd,Cables - Telephone
Shipping Corporation of India Ltd,Shipping
Shree Ganesh Jewellery House Ltd,Diamond Cutting & Jewellery & Precious Metals
Shree Pushkar Chemicals and Fertilisers Ltd,Fertilisers
Shriram EPC Limited,Engineering - Heavy
Simplex Projects Limited,Construction & Contracting - Civil
Sita Shree Food Products Ltd,Food Processing
SJVN Ltd (Satluj Jal Vidyut Nigam Ltd),Power - Generation & Distribution
SKS Microfinance Ltd,Finance - General
SMS Pharmaceuticals Limited,Pharmaceuticals
Snowman Logistics Ltd,Transport & Logistics
Sobha Developers Ltd,Construction & Contracting - Real Estate
Somi Conveyor Beltings Limited,Rubber
Speciality Restaurants Ltd,Hotels
SRS Limited,Finance - General
Standard Chartered PLC,Auto Ancillaries
Sudar Garments Ltd,Auto Ancillaries
Supreme Infrastructure India Ltd,Construction & Contracting - Civil
Suryachakra Power Corporation Ltd,Power - Generation & Distribution
Syncom Healthcare Limited,Pharmaceuticals
Syngene International Ltd,Personal Care
TAKE Solutions Limited,Computers - Software Medium & Small
Talwalkars Better value Fitness Ltd,Engineering
Tanla Solutions Ltd,Computers - Software Medium & Small
Tara Jewels Limited,Diamond Cutting & Jewellery & Precious Metals
Tarapur Transformers Limited,Power - Transmission & Equipment
Tata Steel Ltd,Steel - Large
TD Power Systems Ltd,Engineering - Heavy
TeamLease Services Ltd,Miscellaneous
Technocraft Industries (India) Ltd,Steel - Medium & Small
Technofab Engineering Ltd,Engineering
Texmo Pipes & Products Ltd,Plastics
Thinksoft Global Services Ltd,Infrastructure - General
Thyrocare Technologies Ltd,Hospitals & Medical Services
Tijaria Polypipes Ltd,Plastics
Time Technoplast Limited,Packaging
Tirupati Inks Ltd,Printing & Stationery
Titagarh Wagons Limited,Infrastructure - General
Transformers and Rectifiers India Ltd,Power - Transmission & Equipment
Transwarranty Finance Ltd,Finance - General
Tree House Education & Accessories Ltd,Computers - Software - Training
Tribhovandas Bhimji Zaveri Ltd,Diamond Cutting & Jewellery & Precious Metals
Tulsi Extrusions Limited,Plastics
UFO Moviez Ltd,Media & Entertainment
Ujjivan Financial Services Ltd,Finance - General
United Bank of India,Banks - Public Sector
Usher Agro Ltd,Food Processing
VA Tech Wabag Ltd,Infrastructure - General
Vascon Engineers Limited,Construction & Contracting - Real Estate
Vaswani Industries Ltd,Steel - Sponge Iron
V-Guard Industries Limited,Miscellaneous
Vimal Oil and Foods Limited,Pharmaceuticals
Vishal Retail Ltd,Textiles - Spinning - Cotton Blended
VKS Projects Ltd,Engineering
V-Mart Retail Ltd,Retail
VMS Industries Ltd,Miscellaneous
Voltamp Transformers Limited,Power - Transmission & Equipment
VRL Logistics Ltd,Transport & Logistics
Wonderla Holidays Ltd,Miscellaneous
XL Telecom Ltd,Telecommunications - Equipment
Zylog Systems Limited,Computers - Software Medium & Small
